"","id","trial","x","y","z","out","cond"
"834",19,20,2,4,2,12,"active"
"835",19,21,2,3,2,11,"active"
"836",19,22,2,2,3,13,"active"
"837",20,1,2,3,3,17,"active"
"838",20,2,3,4,4,27,"active"
"839",20,3,4,2,2,16,"active"
"840",20,4,4,4,4,30,"active"
"841",20,5,4,4,3,29,"active"
"842",20,6,3,3,2,19,"active"
"843",20,7,2,2,2,10,"active"
"844",20,8,3,2,2,13,"active"
"845",20,9,2,3,4,18,"active"
"846",20,10,3,4,3,26,"active"
"847",20,11,3,4,2,25,"active"
"848",20,12,2,4,3,23,"active"
"849",20,13,2,2,3,11,"active"
"850",20,14,3,2,4,15,"active"
"851",20,15,4,4,2,28,"active"
"852",20,16,4,3,4,24,"active"
"853",20,17,3,2,3,14,"active"
"854",20,18,4,3,2,22,"active"
"855",20,19,2,2,4,12,"active"
"856",20,20,3,3,4,21,"active"
"857",20,21,4,2,4,18,"active"
"858",20,22,3,3,3,20,"active"
"881",21,1,3,2,4,18,"active"
"882",21,2,4,4,4,30,"active"
"883",21,3,2,2,2,10,"active"
"884",21,4,3,3,3,20,"active"
"885",21,5,4,2,2,22,"active"
"886",21,6,3,4,2,22,"active"
"887",21,7,2,3,4,15,"active"
"888",21,8,4,4,2,28,"active"
"889",21,9,4,2,3,23,"active"
"890",21,10,4,4,3,29,"active"
"891",21,11,4,3,2,25,"active"
"892",21,12,4,3,4,27,"active"
"893",21,13,2,3,3,14,"active"
"894",21,14,4,2,4,24,"active"
"895",21,15,2,4,3,17,"active"
"896",21,16,2,2,3,11,"active"
"897",21,17,4,3,3,26,"active"
"898",21,18,2,4,2,16,"active"
"899",21,19,2,4,4,18,"active"
"900",21,20,2,2,4,12,"active"
"901",21,21,3,2,3,17,"active"
"902",21,22,3,4,4,24,"active"
"903",22,1,2,2,4,22,"active"
"904",22,2,4,2,4,24,"active"
"905",22,3,4,4,4,30,"active"
"906",22,4,4,4,3,24,"active"
"907",22,5,2,4,4,28,"active"
"908",22,6,3,4,3,23,"active"
"909",22,7,3,4,4,29,"active"
"910",22,8,3,2,4,23,"active"
"911",22,9,2,3,4,25,"active"
"912",22,10,4,3,4,27,"active"
"913",22,11,3,3,4,26,"active"
"914",22,12,2,4,2,16,"active"
"915",22,13,3,2,2,11,"active"
"916",22,14,2,2,2,10,"active"
"917",22,15,2,3,3,19,"active"
"918",22,16,2,3,2,13,"active"
"919",22,17,4,3,2,15,"active"
"920",22,18,4,3,3,21,"active"
"921",22,19,4,4,2,18,"active"
"922",22,20,4,2,3,18,"active"
"923",22,21,2,2,3,16,"active"
"924",22,22,3,2,3,17,"active"
"947",23,1,4,2,4,28,"active"
"948",23,2,4,2,3,25,"active"
"949",23,3,2,4,3,15,"active"
"950",23,4,4,4,2,24,"active"
"951",23,5,3,4,2,18,"active"
"952",23,6,4,3,2,23,"active"
"953",23,7,4,4,4,30,"active"
"954",23,8,3,4,4,24,"active"
"955",23,9,2,3,3,14,"active"
"956",23,10,4,3,4,29,"active"
"957",23,11,4,4,3,27,"active"
"958",23,12,2,2,3,13,"active"
"959",23,13,2,4,4,18,"active"
"960",23,14,2,3,4,17,"active"
"961",23,15,3,2,3,19,"active"
"962",23,16,3,2,2,16,"active"
"963",23,17,2,4,2,12,"active"
"964",23,18,3,3,4,23,"active"
"965",23,19,3,3,2,17,"active"
"966",23,20,3,2,4,22,"active"
"967",23,21,2,2,4,16,"active"
"968",23,22,4,3,3,26,"active"
"969",24,1,2,4,4,28,"active"
"970",24,2,2,2,3,16,"active"
"971",24,3,4,4,4,30,"active"
"972",24,4,2,3,2,13,"active"
"973",24,5,2,4,3,22,"active"
"974",24,6,4,3,2,15,"active"
"975",24,7,4,4,3,24,"active"
"976",24,8,2,3,3,19,"active"
"977",24,9,4,4,2,18,"active"
"978",24,10,4,3,3,21,"active"
"979",24,11,4,2,2,12,"active"
"980",24,12,2,2,2,10,"active"
"981",24,13,3,3,3,20,"active"
"982",24,14,3,3,4,26,"active"
"983",24,15,3,4,4,29,"active"
"984",24,16,4,2,3,18,"active"
"985",24,17,2,3,4,25,"active"
"986",24,18,3,4,3,23,"active"
"987",24,19,4,3,4,27,"active"
"988",24,20,2,2,4,22,"active"
"989",24,21,3,2,2,11,"active"
"990",24,22,3,2,4,23,"active"
"991",25,1,4,2,3,18,"active"
"992",25,2,4,4,2,18,"active"
"993",25,3,4,2,4,24,"active"
"994",25,4,4,3,2,15,"active"
"995",25,5,4,4,3,24,"active"
"996",25,6,2,3,2,13,"active"
"997",25,7,3,2,4,23,"active"
"998",25,8,4,3,3,21,"active"
"999",25,9,3,2,3,17,"active"
"1000",25,10,3,3,3,20,"active"
"1001",25,11,3,4,2,17,"active"
"1002",25,12,2,4,2,16,"active"
"1003",25,13,2,3,3,19,"active"
"1004",25,14,3,3,2,14,"active"
"1005",25,15,2,3,4,25,"active"
"1006",25,16,2,4,3,22,"active"
"1007",25,17,4,3,4,27,"active"
"1008",25,18,3,3,4,26,"active"
"1009",25,19,3,4,3,23,"active"
"1010",25,20,2,2,2,10,"active"
"1011",25,21,2,2,4,22,"active"
"1012",25,22,3,4,4,29,"active"
"1013",26,1,3,3,2,17,"active"
"1014",26,2,4,4,2,24,"active"
"1015",26,3,2,4,3,25,"active"
"1016",26,4,3,4,2,23,"active"
"1017",26,5,4,3,2,18,"active"
"1018",26,6,4,2,2,12,"active"
"1019",26,7,2,3,3,19,"active"
"1020",26,8,2,4,2,22,"active"
"1021",26,9,4,3,4,24,"active"
"1022",26,10,3,3,4,23,"active"
"1023",26,11,2,2,3,13,"active"
"1024",26,12,3,4,4,29,"active"
"1025",26,13,2,4,4,28,"active"
"1026",26,14,3,3,3,20,"active"
"1027",26,15,3,2,2,11,"active"
"1028",26,16,4,4,3,27,"active"
"1029",26,17,4,2,4,18,"active"
"1030",26,18,4,4,4,30,"active"
"1031",26,19,3,2,3,14,"active"
"1032",26,20,3,2,4,17,"active"
"1033",26,21,2,2,2,10,"active"
"1034",26,22,4,2,3,15,"active"
"1057",27,1,3,4,2,22,"active"
"1058",27,2,4,4,4,30,"active"
"1059",27,3,4,3,3,26,"active"
"1060",27,4,4,4,3,29,"active"
"1061",27,5,3,2,3,17,"active"
"1062",27,6,4,3,2,25,"active"
"1063",27,7,3,4,3,23,"active"
"1064",27,8,2,2,3,11,"active"
"1065",27,9,2,2,2,10,"active"
"1066",27,10,3,2,4,18,"active"
"1067",27,11,2,4,4,18,"active"
"1068",27,12,2,3,2,13,"active"
"1069",27,13,3,3,4,21,"active"
"1070",27,14,2,4,2,16,"active"
